,lat,long,tipo
267,-34.565408588895,-58.4592972220666,bicicleta
268,-34.5931413389044,-58.4351854049083,bicicleta
269,-34.615945683095,-58.4709800774731,bicicleta
270,-34.5990368177424,-58.364690475284,bicicleta
271,-34.5674826994842,-58.4463796927595,bicicleta
272,-34.561485468715,-58.4655854588057,bicicleta
273,-34.5556014089115,-58.4504777802768,bicicleta
274,-34.5691867028408,-58.4536070094485,bicicleta
275,-34.5686927854069,-58.4344681995915,bicicleta
276,-34.6267788509477,-58.487078834199,bicicleta
277,-34.6020283923655,-58.4655677492277,bicicleta
278,-34.5545802142783,-58.4853812429738,bicicleta
279,-34.5532612641182,-58.4691325492012,bicicleta
280,-34.6385855496622,-58.3996472319575,bicicleta
281,-34.5550803575244,-58.4585371159979,bicicleta
282,-34.6079819574811,-58.3778816952673,bicicleta
283,-34.6198799456432,-58.4357996225498,bicicleta
284,-34.6376986560563,-58.373722131969,bicicleta
285,-34.5445021121101,-58.4594980806633,bicicleta
286,-34.6098020140517,-58.3747959781335,bicicleta
287,-34.6089370142298,-58.370711799739,bicicleta
288,-34.5824223699167,-58.3788579541696,bicicleta
289,-34.6290840208419,-58.4632508461667,bicicleta
290,-34.625663,-58.371042,colectivo
291,-34.636743,-58.369765,colectivo
292,-34.632942,-58.370332,colectivo
293,-34.629952,-58.3706,colectivo
294,-34.647807,-58.372853000000006,colectivo
295,-34.643285,-58.37372,colectivo
296,-34.608873,-58.371667,colectivo
297,-34.591115,-58.373402,colectivo
298,-34.589582,-58.37245,colectivo
299,-34.588083000000005,-58.368398,colectivo
300,-34.604942,-58.37009200000001,colectivo
301,-34.63855,-58.373758,colectivo
302,-34.618685,-58.371587,colectivo
303,-34.612262,-58.376962,colectivo
304,-34.641037,-58.374155,colectivo
305,-34.63471,-58.37008,colectivo
306,-34.61744,-58.371635,colectivo
307,-34.615043,-58.374523,colectivo
308,-34.616895,-58.37309000000001,colectivo
309,-34.621662,-58.37285,colectivo
310,-34.637159999999994,-58.369703,colectivo
311,-34.62402,-58.37269300000001,colectivo
312,-34.626517,-58.372582,colectivo
313,-34.638622999999995,-58.374607,colectivo
314,-34.64198,-58.373985,colectivo
315,-34.646395,-58.373178,colectivo
316,-34.607865000000004,-58.371465,colectivo
317,-34.612525,-58.37354200000001,colectivo
318,-34.612408,-58.37711700000001,colectivo
319,-34.611232,-58.375855,colectivo
320,-34.609562,-58.374038,colectivo
321,-34.592385,-58.374808,colectivo
322,-34.59005,-58.373087,colectivo
323,-34.58641,-58.36746700000001,colectivo
324,-34.589385,-58.369867000000006,colectivo
325,-34.58444,-58.368258,colectivo
326,-34.597863000000004,-58.37146800000001,colectivo
327,-34.603992,-58.370238,colectivo
328,-34.637512,-58.371335,colectivo
329,-34.637658,-58.372882,colectivo
330,-34.61469,-58.373203,colectivo
331,-34.619483,-58.372945,colectivo
332,-34.612633,-58.37508,colectivo
333,-34.625712,-58.371037,colectivo
334,-34.537115,-58.466028,colectivo
335,-34.54177,-58.462947,colectivo
336,-34.607588,-58.3742,colectivo
337,-34.641175,-58.36159,colectivo
338,-34.62737,-58.368375,colectivo
339,-34.539273,-58.464725,colectivo
340,-34.543488,-58.461137,colectivo
341,-34.619325,-58.368552,colectivo
342,-34.61647,-58.369012,colectivo
343,-34.638468,-58.35726800000001,colectivo
344,-34.641892,-58.36384,colectivo
345,-34.642007,-58.363387,colectivo
346,-34.640107,-58.36409,colectivo
347,-34.624407,-58.373865,colectivo
348,-34.622653,-58.374102,colectivo
349,-34.6218,-58.370982,colectivo
350,-34.607896999999994,-58.371887,colectivo
351,-34.629917,-58.371092,colectivo
352,-34.612113,-58.37680200000001,colectivo
353,-34.627887,-58.367142,colectivo
354,-34.607143,-58.37966,colectivo
355,-34.607682000000004,-58.386977,colectivo
356,-34.607415,-58.37459499999999,colectivo
357,-34.60886,-58.37153000000001,colectivo
358,-34.605207,-58.368295,colectivo
359,-34.601837,-58.523525,colectivo
360,-34.599882,-58.517075,colectivo
361,-34.60132,-58.51578000000001,colectivo
362,-34.607075,-58.448202,colectivo
363,-34.608557,-58.42201,colectivo
364,-34.60973,-58.420227,colectivo
365,-34.6094,-58.415248,colectivo
366,-34.608332,-58.396982,colectivo
367,-34.608765000000005,-58.404155,colectivo
368,-34.609075,-58.40751700000001,colectivo
369,-34.600322,-58.52112,colectivo
370,-34.60147,-58.51386,colectivo
371,-34.594912,-58.50324200000001,colectivo
372,-34.602897,-58.52504,colectivo
373,-34.598673,-58.51850500000001,colectivo
374,-34.603662,-58.461695,colectivo
375,-34.605552,-58.45437,colectivo
376,-34.609217,-58.41199200000001,colectivo
377,-34.609393,-58.386477,colectivo
378,-34.608873,-58.378923,colectivo
379,-34.601982,-58.51295500000001,colectivo
380,-34.600923,-58.514172,colectivo
381,-34.599463,-58.5155,colectivo
382,-34.599955,-58.518652,colectivo
383,-34.610243,-58.42455,colectivo
384,-34.608940000000004,-58.424662,colectivo
385,-34.609977,-58.40297,colectivo
386,-34.61125,-58.420197,colectivo
387,-34.611655,-58.424175,colectivo
388,-34.603962,-58.4605,colectivo
389,-34.597646999999995,-58.523008,colectivo
390,-34.598823,-58.52,colectivo
391,-34.59796,-58.520802,colectivo
392,-34.596907,-58.504735,colectivo
393,-34.596912,-58.500788,colectivo
394,-34.596592,-58.49874499999999,colectivo
395,-34.605537,-58.454435,colectivo
396,-34.610985,-58.417955000000006,colectivo
397,-34.6096,-58.39738000000001,colectivo
398,-34.6079,-58.37197800000001,colectivo
399,-34.605270000000004,-58.368932,colectivo
400,-34.597608,-58.522928,colectivo
401,-34.63022,-58.370577,colectivo
402,-34.634287,-58.370145,colectivo
403,-34.63671,-58.36977,colectivo
404,-34.640922,-58.369123,colectivo
405,-34.643652,-58.368712,colectivo
406,-34.647052,-58.368212,colectivo
407,-34.592337,-58.375947,colectivo
408,-34.632552000000004,-58.370373,colectivo
409,-34.63893,-58.369433,colectivo
410,-34.621327,-58.36835799999999,colectivo
411,-34.625763,-58.367987,colectivo
412,-34.579093,-58.470868,colectivo
413,-34.576471999999995,-58.471955,colectivo
414,-34.581378,-58.419538,colectivo
415,-34.581592,-58.416378,colectivo
416,-34.582753000000004,-58.40841500000001,colectivo
417,-34.583427,-58.403218,colectivo
418,-34.5705,-58.48008000000001,colectivo
419,-34.567605,-58.48261,colectivo
420,-34.56613,-58.48393299999999,colectivo
421,-34.564395000000005,-58.485542,colectivo
